Source,Target,Type,Id,Label,timeset,Weight,action
118,321,Directed,6459,text_reply,,4,text_reply
321,118,Directed,6460,text_reply,,8,text_reply
118,280,Directed,6467,text_reply,,10,text_reply
280,118,Directed,6470,text_reply,,13,text_reply
118,56,Directed,6476,text_reply,,25,text_reply
281,148,Directed,6477,invite_members,,1,invite_members
321,56,Directed,6482,text_reply,,1,text_reply
257,320,Directed,6499,text_reply,,1,text_reply
320,257,Directed,6501,text_reply,,3,text_reply
132,118,Directed,6502,text_reply,,1,text_reply
17,118,Directed,6503,text_reply,,1,text_reply
321,132,Directed,6504,text_reply,,1,text_reply
39,76,Directed,6505,invite_members,,1,invite_members
159,118,Directed,6506,text_reply,,36,text_reply
118,99,Directed,6507,text_reply,,5,text_reply
56,118,Directed,6508,text_reply,,9,text_reply
118,219,Directed,6511,text_reply,,1,text_reply
5,219,Directed,6512,text_reply,,1,text_reply
219,5,Directed,6513,text_reply,,1,text_reply
178,178,Directed,6515,text_reply,,1,text_reply
214,31,Directed,6516,invite_members,,1,invite_members
271,215,Directed,6517,text_reply,,1,text_reply
11,56,Directed,6520,text_reply,,1,text_reply
169,56,Directed,6521,text_reply,,1,text_reply
93,33,Directed,6522,text_reply,,1,text_reply
93,187,Directed,6523,text_reply,,1,text_reply
282,215,Directed,6524,text_reply,,1,text_reply
282,35,Directed,6525,text_reply,,2,text_reply
282,225,Directed,6526,text_reply,,1,text_reply
314,80,Directed,6527,text_reply,,1,text_reply
118,32,Directed,6528,text_reply,,11,text_reply
46,187,Directed,6529,text_reply,,1,text_reply
257,118,Directed,6530,text_reply,,26,text_reply
320,118,Directed,6531,text_reply,,2,text_reply
32,118,Directed,6532,text_reply,,7,text_reply
225,298,Directed,6533,text_reply,,2,text_reply
214,71,Directed,6534,invite_members,,1,invite_members
71,229,Directed,6535,invite_members,,1,invite_members
159,56,Directed,6536,text_reply,,1,text_reply
320,103,Directed,6537,text_reply,,2,text_reply
103,320,Directed,6538,text_reply,,1,text_reply
191,91,Directed,6539,text_reply,,1,text_reply
140,157,Directed,6540,text_reply,,1,text_reply
215,118,Directed,6542,text_reply,,2,text_reply
157,140,Directed,6543,text_reply,,1,text_reply
288,257,Directed,6544,text_reply,,2,text_reply
121,257,Directed,6546,text_reply,,1,text_reply
277,257,Directed,6547,text_reply,,1,text_reply
58,257,Directed,6548,text_reply,,1,text_reply
146,280,Directed,6549,text_reply,,3,text_reply
280,146,Directed,6550,text_reply,,4,text_reply
225,146,Directed,6553,text_reply,,1,text_reply
93,70,Directed,6554,text_reply,,1,text_reply
269,257,Directed,6555,text_reply,,1,text_reply
146,225,Directed,6556,text_reply,,1,text_reply
53,70,Directed,6557,text_reply,,1,text_reply
93,53,Directed,6558,text_reply,,1,text_reply
215,296,Directed,6559,text_reply,,1,text_reply
251,118,Directed,6560,text_reply,,58,text_reply
215,251,Directed,6561,text_reply,,1,text_reply
251,215,Directed,6562,text_reply,,1,text_reply
126,269,Directed,6563,text_reply,,1,text_reply
298,225,Directed,6564,text_reply,,2,text_reply
93,44,Directed,6567,text_reply,,2,text_reply
44,93,Directed,6569,text_reply,,1,text_reply
307,320,Directed,6571,text_reply,,4,text_reply
320,307,Directed,6572,text_reply,,4,text_reply
251,320,Directed,6577,text_reply,,4,text_reply
320,251,Directed,6578,text_reply,,4,text_reply
251,307,Directed,6579,text_reply,,1,text_reply
307,251,Directed,6584,text_reply,,1,text_reply
215,220,Directed,6587,text_reply,,1,text_reply
320,35,Directed,6588,text_reply,,1,text_reply
215,198,Directed,6589,text_reply,,2,text_reply
198,215,Directed,6590,text_reply,,2,text_reply
267,171,Directed,6592,invite_members,,1,invite_members
267,216,Directed,6593,invite_members,,1,invite_members
225,223,Directed,6595,text_reply,,1,text_reply
220,225,Directed,6596,text_reply,,1,text_reply
159,58,Directed,6597,text_reply,,1,text_reply
222,223,Directed,6598,text_reply,,1,text_reply
157,107,Directed,6599,text_reply,,2,text_reply
319,118,Directed,6601,text_reply,,7,text_reply
93,118,Directed,6602,text_reply,,5,text_reply
93,319,Directed,6603,text_reply,,1,text_reply
58,159,Directed,6604,text_reply,,1,text_reply
159,282,Directed,6605,text_reply,,8,text_reply
35,159,Directed,6606,text_reply,,2,text_reply
159,35,Directed,6607,text_reply,,2,text_reply
159,107,Directed,6608,text_reply,,4,text_reply
157,70,Directed,6611,text_reply,,1,text_reply
282,159,Directed,6614,text_reply,,2,text_reply
